CÓDIGO UFC,CÓDIGO INEP,UNIDADE ACADÊMICA/CURSO,GRAU,TURNO,Candidatos,Candidatos/Vaga
70,150114,Biotecnologia,Bach.,Integral,700,14
07A,313974,Ciências Biológicas,Bach.,Integral,1068,26.7
07B,13974,Ciências Biológicas - Licenciatura,Lic.,Integral,762,19.05
65,13980,Computação,Bach.,Integral,2062,34.37
28,13971,Estatística,Bach.,Integral,1389,23.15
47,13972,Física – Bacharelado,Bach.,Integral,454,11.35
31,38239,Física – Licenciatura,Lic.,Noturno,938,18.76
035A,313976,Geografia – Bacharelado,Bach.,Integral,568,18.93
035B,13976,Geografia – Licenciatura,Lic.,Integral,1529,30.58
34,13975,Geologia,Bach.,Integral,721,18.02
48,13977,Matemática – Bacharelado,Bach.,Integral,582,12.93
38,38246,Matemática – Licenciatura,Lic.,Noturno,1342,26.84
80,1127861,Matemática Industrial,Bach.,Integral,546,13.65
49,99567,Química – Bacharelado,Bach.,Integral,675,13.5
59,38217,Química – Licenciatura,Lic.,Noturno,904,18.08
3,13965,Agronomia,Bach.,Integral,4169,29.78
16,13966,Economia Doméstica,Bach.,Integral,3091,38.64
63,13993,Engenharia de Alimentos,Bach.,Integral,2151,21.51
61,13992,Engenharia de Pesca,Bach.,Integral,1561,15.61
64,50392,Zootecnia,Bach.,Integral,1639,27.32
5,13981,Biblioteconomia,Bach.,Integral,2426,34.66
011A,313982,Ciências Sociais – Bacharelado,Bach.,Integral,686,27.44
067A,416834,Ciências Sociais – Bacharelado,Bach.,Noturno,1259,50.36
011B,13982,Ciências Sociais – Licenciatura,Lic.,Integral,823,32.92
067B,116834,Ciências Sociais – Licenciatura,Lic.,Noturno,1461,58.44
036A,313984,História – Bacharelado,Bach.,Integral,505,25.25
036B,13984,História – Licenciatura,Lic.,Integral,1605,26.75
76,1128914,Letras (Espanhol),Lic.,Noturno,2090,41.80
77,1128911,Letras (Inglês),Lic.,Noturno,1665,33.30
037A,29489,Letras (Língua Portuguesa),Lic.,Integral,1524,21.77
037D,25822,Letras (Português-Alemão),Lic.,Integral,525,26.25
037F,27263,Letras (Português-Espanhol),Lic.,Integral,1564,31.28
037C,34433,Letras (Português-Francês),Lic.,Integral,779,25.97
037B,33013,Letras (Português-Inglês),Lic.,Integral,894,17.88
037E,25821,Letras (Português-Italiano),Lic.,Integral,1010,50.50
89,1191425,Letras-Libras,Lic.,Noturno,2579,85.97
54,13986,Psicologia,Bach.,Integral,4201,52.51
4,13987,Arquitetura e Urbanismo,Bach.,Integral,2876,44.94
85,1167971,Design,Bach.,Integral,1667,41.68
19,13988,Engenharia Civil,Bach.,Integral,4076,33.97
73,5000718,Engenharia de Energias e Meio Ambiente,ABI,Integral,2503,20.86
26,37265,Engenharia de Produção Mecânica,Bach.,Integral,798,13.30
27,69190,Engenharia de Teleinformática,Bach.,Integral,569,9.48
68,122364,Engenharia de Teleinformática,Bach.,Noturno,1069,21.38
20,13989,Engenharia Elétrica,Bach.,Integral,1687,16.87
21,13990,Engenharia Mecânica,Bach.,Integral,1238,20.63
23,99572,Engenharia Metalúrgica,Bach.,Integral,705,11.75
25,13991,Engenharia Química,Bach.,Integral,1001,14.30
52,13967,Pedagogia,Lic.,Integral,2810,35.12
53,38273,Pedagogia,Lic.,Noturno,4113,51.41
1,13998,Administração,Bach.,Integral,2670,33.38
33,38202,Administração,Bach.,Noturno,6287,78.59
13,13999,Ciências Atuariais,Bach.,Noturno,598,17.09
10,13969,Ciências Contábeis,Bach.,Integral,1688,21.10
2,38204,Ciências Contábeis,Bach.,Noturno,3156,39.45
8,13970,Ciências Econômicas,Bach.,Integral,995,12.44
9,38206,Ciências Econômicas,Bach.,Noturno,1510,18.88
86,1168345,Finanças,Bach.,Vespertino,920,18.40
58,14002,Secretariado Executivo,Bach.,Noturno,2841,56.82
15,13968,Direito,Bach.,Integral,2701,27.01
14,38208,Direito,Bach.,Noturno,3802,38.02
18,13994,Enfermagem,Bach.,Integral,4386,54.82
30,13995,Farmácia,Bach.,Integral,3549,35.49
51,13997,Odontologia,Bach.,Integral,2588,32.35
74,1122966,Fisioterapia,Bach.,Integral,3408,85.20
40,13996,Medicina,Bach.,Integral,11825,73.91
72,150093,Cinema e Audiovisual,Bach.,Integral,900,22.50
83,23947,Comunicação Social - Jornalismo,Bach.,Integral,1595,31.90
84,37267,Comunicação Social - Publ.e Propag.,Bach.,Integral,2640,52.80
079A,150092,Dança – Bacharelado,Bach.,Integral,636,31.80
079B,150091,Dança – Licenciatura,Lic.,Integral,896,44.80
