UNIDADE ACADEMICA,CÓDIGO DO CURSO UFC,OCDE,INEP,CURSO,PERÍODO,2007,2008,2009,2010,2011,2012,2013
Centro de Ciências,7,421C00,313974,Ciências Biológicas-Bacharelado,Diurno,-,-,-,-,-,107.70,59.60
Centro de Ciências,7,421C01,13974,Ciências Biológicas-Licenciatura,Diurno,101.60,90.00,88.30,118.30,96.70,100.00,43.50
Centro de Ciências,65,481C01,13980,Computação,Diurno,53.20,49.20,33.30,60.30,70.00,75.00,53.20
Centro de Ciências,28,462E01,13971,Estatística,Diurno,16.90,32.50,7.00,26.30,45.80,23.30,25.00
Centro de Ciências,47,441F01,13972,Física,Diurno,28.90,36.80,42.10,31.70,25.60,32.50,25.00
Centro de Ciências,31,145F09,38239,Física-Licenciatura,Noturno,74.30,63.40,40.50,89.70,47.60,39.00,31.30
Centro de Ciências,35,443G04,13976,Geografia,Diurno,121.30,98.40,81.70,105.00,101.60,100.00,219.00
Centro de Ciências,35,443G05,313976,Geografia-Bacharelado,Diurno,-,-,-,-,-,82.00,15.30
Centro de Ciências,34,443G06,13975,Geologia,Diurno,8.30,42.00,16.70,90.00,46.20,47.50,35.00
Centro de Ciências,48,461M01,13977,Matemática,Diurno,-,40.00,27.80,13.50,30.80,12.50,24.40
Centro de Ciências,38,145F18,38246,Matemática-Licenciatura,Noturno,75.40,88.30,96.30,65.40,84.30,80.00,56.00
Centro de Ciências,49,145F21,99567,Química-Bacharelado,Diurno,-,-,-,-,80.40,104.00,52.00
Centro de Ciências,59,145F21,38217,Química-Licenciatura,Noturno,55.60,70.00,48.00,38.00,83.30,54.00,38.80
Centro de Ciências Agrárias,3,621A04,13965,Agronomia,Diurno,51.10,49.30,53.20,42.10,64.30,68.60,59.40
Centro de Ciências Agrárias,16,814E02,13966,Economia Doméstica,Diurno,40.00,50.00,52.50,60.00,65.00,73.80,43.00
Centro de Ciências Agrárias,61,624E01,13992,Engenharia de Pesca,Diurno,66.00,77.00,62.00,81.00,64.00,63.00,50.00
Centro de Ciências Agrárias,63,541E01,13993,Engenharia de Alimentos,Diurno,53.00,62.40,68.00,93.00,60.00,73.00,70.60
Centro de Ciências Agrárias,64,621Z01,50392,Zootecnia,Diurno,74.50,54.70,42.00,60.00,64.70,62.70,54.50
Centro de Humanidades,5,322B01,13981,Biblioteconomia,Diurno,88.20,60.00,90.00,76.00,20.00,50.00,75.40
Centro de Humanidades,12,310C03,313982,Ciências Sociais-Bacharelado,Diurno,-,-,-,-,-,68.10,45.90
Centro de Humanidades,-,310C03,416834,Ciências Sociais-Bacharelado,Noturno,-,-,-,-,-,-,80.00
Centro de Humanidades,11,310C02,13982,Ciências Sociais-Licenciatura,Diurno,60.40,93.30,80.00,64.00,76.00,100.00,60.00
Centro de Humanidades,-,310C02,116834,Ciências Sociais-Licenciatura,Noturno,-,-,-,-,-,-,6.80
Centro de Humanidades,37,225H02,313984,História-Bacharelado,Diurno,-,-,-,-,-,100.00,44.40
