Código UFC,Código INEP,Curso,Período,Ranking 2013,Ranking 2012,Ranking 2011,TS 2013,TS 2012,TS 2011
57,37274,Filosofia - Licenciatura,Noturno,1,45,57,"223,1","43,80","34,60"
35,13976,Geografia - Licenciatura,Diurno,2,6,8,219,"100,00","101,60"
52,13967,Pedagogia,Diurno,3,14,19,"143,6","84,30","81,40"
205,99308,Odontologia - Sobral,Diurno,4,63,67,135,-,"7,50"
45,14000,Educação Física - Licenciatura,Diurno,5,20,17,124,"76,00","84,00"
-,399346,Filosofia - Bacharelado - Cariri,Noturno,6,-,-,"122,2",-,-
301,54494,Medicina - Barbalha,Diurno,7,6,6,"107,5","100,00","105,00"
10,13969,Ciências Contábeis,Diurno,8,25,28,"106,3","68,80","67,50"
46,100256,Educação Física - Bacharelado,Diurno,9,10,9,104,"92,00","100,00"
37A,29489,Letras - Português,Diurno,10,2,13,"102,8","113,90","89,00"
40,13996,Medicina - Fortaleza,Diurno,11,7,2,"102,6","97,40","148,10"
302,99340,Administração - Cariri,Noturno,12,37,39,100,"55,00","55,00"
15,13968,Direito,Diurno,13,9,22,"92,6","92,20","79,30"
19,13988,Engenharia Civil,Diurno,14,44,47,"91,7","47,10","47,90"
51,13997,Odontologia,Diurno,15,24,25,"91,1","71,30","70,40"
201,54490,Medicina - Sobral,Diurno,16,4,5,"90,2","105,00","107,50"
18,13994,Enfermagem,Diurno,17,12,14,"88,8","90,00","86,30"
30,13995,Farmácia,Diurno,18,11,23,"88,1","91,10","79,20"
58,14002,Secretariado Executivo,Noturno,19,12,20,"86,8","90,00","80,50"
14,38208,Direito,Noturno,20,1,10,"86,3","114,40","98,90"
54,13986,Psicologia,Diurno,21,17,1,"85,9","82,00","175,00"
83,23947,Jornalismo,Diurno,22,19,32,"84,6","78,00","64,00"
-,416834,Ciências Sociais - Bacharelado,Noturno,23,-,-,80,-,-
36,13984,História - Licenciatura,Diurno,24,36,33,"78,6","58,20","63,40"
5,13981,Biblioteconomia,Diurno,25,40,64,"75,4","50,00","20,00"
84,37267,Publicidade e Propaganda,Diurno,26,30,37,"74,5","64,70","58,00"
33,38202,Administração,Noturno,27,15,52,"72,8","83,80","45,00"
37B,33013,Letras - Português-Inglês,Diurno,28,50,54,"71,4","34,00","39,00"
37.0,27263,Letras - Português-Espanhol,Diurno,29,46,44,"71,1","42,90","51,00"
63,13993,Engenharia de Alimentos,Diurno,30,23,35,"70,6","73,00","60,00"
37E,25821,Letras - Português-Italiano,Diurno,31,48,51,"69,2","37,50","45,50"
206,99310,Psicologia - Sobral,Diurno,32,21,45,65,"75,00","50,00"
4,13987,Arquitetura e Urbanismo,Diurno,33,16,12,"64,1","83,30","95,10"
304,99342,Biblioteconomia - Cariri,Diurno,34,34,34,"63,3","61,10","63,20"
1,13998,Administração,Diurno,35,25,15,62,"68,80","85,20"
11,13982,Ciências Sociais - Licenciatura,Diurno,36,6,24,60,"100,00","76,00"
7,313974,Ciências Biológicas - Bacharelado,Diurno,37,3,-,"59,6","107,70",-
3,13965,Agronomia,Diurno,38,26,31,"59,4","68,60","64,30"
2,38204,Ciências Contábeis,Noturno,39,8,4,"56,3","96,30","110,00"
38,38246,Matemática - Licenciatura,Noturno,40,18,16,56,"80,00","84,30"
13,13999,Ciências Atuariais,Noturno,41,28,7,56,"68,00","104,00"
20,13989,Engenharia Elétrica,Diurno,42,39,40,"55,9","52,40","54,80"
21,13990,Engenharia Mecânica,Diurno,43,41,38,"55,9","49,20","57,40"
8,13970,Ciências Econômicas,Diurno,44,29,36,55,"65,00","59,00"
26,37265,Engenharia de Produção Mecânica,Diurno,45,35,43,55,"61,00","51,20"
64,50392,Zootecnia,Diurno,46,33,30,"54,5","62,70","64,70"
81,14001,Design de Moda,Diurno,47,4,3,54,"105,00","120,00"
