UNIDADE ACADÊMICA,PERÍODO,2007,2008,2009,2010,2011,2012,2013
Centro de Ciências,Média,59.50,61.06,48.17,63.82,64.75,65.96,52.16
Centro de Ciências Agrárias,Média,56.92,58.68,55.54,67.22,63.60,68.22,55.50
Centro de Humanidades,Média,75.08,75.95,67.77,56.44,59.10,60.02,59.58
Centro de Tecnologia,Média,64.67,53.20,53.57,53.21,52.29,51.61,53.71
Faculdade de Educação,Média,80.10,85.90,121.30,78.90,74.50,63.60,92.20
FEAACS,Média,63.96,65.58,72.88,63.78,75.00,73.69,66.59
Faculdade de Direito,Média,106.10,98.35,85.40,89.55,89.10,103.30,89.45
FFOE,Média,86.77,69.37,57.63,80.40,78.63,84.13,89.33
Faculdade de Medicina,Média,193.30,106.00,93.40,103.80,148.10,97.40,102.60
Instituto de Ciências do Mar,Média,-,-,-,-,-,-,27.80
Instituto de Cultura e Arte,Média,84.15,51.25,65.16,64.34,62.22,70.80,80.92
IEFES,Média,77.80,95.70,82.20,26.00,92.00,84.00,114.00
Campus do Cariri,Média,78.60,93.00,75.60,54.55,58.30,54.47,70.08
Campus de Sobral,Média,95.00,95.10,85.40,58.55,39.20,47.42,60.48
Campus de Quixadá,Média,-,-,-,-,17.10,22.20,22.00
